time,cwnd,rtt,rto,ssthresh
.003821562,26,8.693,209,64088
.140004607,134,72.31,273,64088
.272078168,12,143.115,344,136
.405306551,27,34.498,235,136
.538354091,24,39.48,240,136
.672893187,12,12.409,213,136
.806427990,10,11.685,212,136
.940851298,10,11.797,212,136
1.072167959,10,11.754,212,136
1.205021962,10,11.764,212,136
1.337086493,10,12.319,213,136
1.469260914,10,12.41,213,136
1.599639487,10,12.2,213,136
1.731123165,10,11.661,212,136
1.863412203,10,11.575,212,136
1.994209844,10,12.33,213,136
2.128232750,12,12.36,213,136
2.261341338,10,11.427,212,136
2.390891995,10,11.932,212,136
2.523794471,10,11.295,212,136
2.656208434,10,11.838,212,136
2.789666753,10,11.463,212,136
2.924790058,10,12.273,213,136
3.057306115,12,12.377,213,136
3.189570959,10,11.426,212,136
3.324639884,10,11.935,212,136
3.458517575,10,12.236,213,136
3.589508016,10,11.969,212,136
3.721915917,10,12.303,213,136
3.854153161,10,12.298,213,136
3.988082580,12,11.51,212,136
4.118752706,10,12.492,213,136
4.252662814,10,11.904,212,136
4.385930383,10,11.895,212,136
4.521758089,10,11.394,212,136
4.656775372,10,11.942,212,136
4.788836636,10,11.924,212,136
4.920633836,10,12.323,213,136
5.055133742,10,12.345,213,136
5.188458179,12,12.333,213,136
5.321848272,10,12.431,213,136
5.454746207,10,11.365,212,136
5.587031418,10,11.315,212,136
5.720956890,10,12.221,213,136
5.855077672,10,12.269,213,136
5.988359875,10,11.42,212,136
6.121531191,10,12.306,213,136
6.255238959,10,11.919,212,136
6.387179570,10,11.825,212,136
6.520776389,10,11.93,212,136
6.653420960,10,12.228,213,136
6.786161850,10,11.684,212,136
6.921769945,10,11.26,212,136
7.058461873,10,11.649,212,136
7.190232911,10,11.527,212,136
7.322703092,12,11.69,212,136
7.452933443,10,12.219,213,136
7.582960790,10,11.686,212,136
7.715504476,10,12.005,213,136
7.849899364,10,12.197,213,136
7.982591752,10,11.565,212,136
8.121552699,10,11.886,212,136
8.253973756,10,12.309,213,136
8.387319593,12,11.895,212,136
8.521070433,10,11.899,212,136
8.652285357,10,11.909,212,136
8.785117119,10,11.982,212,136
8.920640136,10,11.722,212,136
9.054069788,10,11.761,212,136
9.187259343,10,11.397,212,136
9.322987468,10,11.395,212,136
9.455186227,10,12.309,213,136
9.589948019,12,12.299,213,136
9.721550003,10,12.348,213,136
9.856130442,10,12.239,213,136
9.990276231,10,11.754,212,136
10.123392506,4,4.823,205,136
10.256579043,18,13.776,214,136
10.388408761,18,20.583,221,136
10.521645446,18,20.6,221,136
10.656169627,18,21.165,222,136
10.785766640,20,20.924,221,136
10.916127402,18,20.623,221,136
11.047047147,18,21.151,222,136
11.179063269,18,20.72,221,136
11.311015835,18,20.67,221,136
11.443752280,18,20.711,221,136
11.575899308,18,20.524,221,136
11.709952159,18,20.951,221,136
11.845006710,18,20.75,221,136
11.979080682,18,20.986,221,136
12.112053316,18,20.704,221,136
12.244764126,18,21.078,222,136
12.374995908,20,20.864,221,136
12.507211709,18,20.702,221,136
12.643038828,18,20.855,221,136
12.775691592,18,20.717,221,136
12.909171460,18,21.034,222,136
13.042586337,18,20.801,221,136
13.179992663,18,21.058,222,136
13.312388309,18,20.674,221,136
13.445236901,18,20.541,221,136
13.579305746,18,20.595,221,136
13.713449798,18,20.528,221,136
13.844248400,18,20.828,221,136
13.977218117,18,20.508,221,136
14.109443767,18,20.922,221,136
14.243732258,18,20.802,221,136
14.374673466,18,21.127,222,136
14.509692208,18,20.789,221,136
14.644658999,18,20.669,221,136
14.777530422,18,20.816,221,136
14.908373484,18,20.659,221,136
15.040711315,18,21.017,222,136
15.175067316,18,20.731,221,136
15.309046641,18,20.868,221,136
15.443415505,18,20.825,221,136
15.577163127,18,20.663,221,136
15.710224622,20,20.785,221,136
15.844169552,18,20.73,221,136
15.977267293,18,21.299,222,136
16.109958712,18,20.583,221,136
16.242203675,18,21.031,222,136
16.375438521,18,20.593,221,136
16.509981158,18,20.656,221,136
16.640285436,18,20.868,221,136
16.772398398,18,20.552,221,136
16.907002954,18,20.933,221,136
17.040164819,18,20.645,221,136
17.176224703,18,20.913,221,136
17.309809580,18,20.739,221,136
17.442874788,18,21.061,222,136
17.576266064,18,20.802,221,136
17.711188549,18,20.534,221,136
17.843052756,18,21.052,222,136
17.975392674,18,20.525,221,136
18.108637774,18,20.903,221,136
18.242367433,18,20.727,221,136
18.374609346,18,20.634,221,136
18.509434225,20,20.775,221,136
18.641890955,18,20.471,221,136
18.774111909,18,20.781,221,136
18.907358332,18,20.847,221,136
19.038014973,18,21.041,222,136
19.169002584,20,20.872,221,136
19.302262452,18,20.479,221,136
19.437166699,18,20.758,221,136
19.570953915,18,20.512,221,136
19.703044056,18,21.14,222,136
19.834975777,18,20.839,221,136
19.971169767,18,20.583,221,136
20.104137557,20,20.8,221,136
20.236881042,4,10.393,211,136
20.370242138,4,4.829,205,136
20.510858955,20,17.526,218,136
20.638277658,18,20.231,221,136
20.772173627,18,20.903,221,136
20.904043916,18,20.807,221,136
21.036405406,18,21.131,222,136
21.169045277,18,20.854,221,136
21.302824221,18,20.644,221,136
21.435219786,18,20.866,221,136
21.567233861,18,20.61,221,136
21.697581870,18,21.109,222,136
21.829994853,18,20.711,221,136
21.961555340,18,20.492,221,136
22.093072834,18,21.021,222,136
22.224529383,18,20.522,221,136
22.356743190,18,20.812,221,136
22.490254767,18,20.724,221,136
22.621097999,18,20.612,221,136
22.755435524,20,20.915,221,136
22.889253850,18,20.439,221,136
23.022473153,18,20.701,221,136
23.156980129,18,20.663,221,136
23.288852384,18,21.006,222,136
23.420148979,18,20.593,221,136
23.553798571,18,20.47,221,136
23.685095082,20,20.851,221,136
23.818709149,18,20.452,221,136
23.950464710,18,20.893,221,136
24.084182912,18,20.696,221,136
24.216034088,18,21.055,222,136
24.347951130,20,20.678,221,136
24.480571763,18,20.646,221,136
24.611478164,18,20.892,221,136
24.744046606,18,20.715,221,136
24.875742131,18,21.142,222,136
25.006887086,20,20.831,221,136
25.138827700,18,20.459,221,136
25.273198036,20,20.712,221,136
25.407999120,18,20.498,221,136
25.543552308,18,20.914,221,136
25.676661898,18,20.675,221,136
25.808627590,18,21.142,222,136
25.941460886,18,20.786,221,136
26.074844330,18,20.674,221,136
26.209068315,20,20.814,221,136
26.342876964,18,20.738,221,136
26.476283929,20,20.904,221,136
26.613034857,18,20.434,221,136
26.746346336,18,21.046,222,136
26.878178289,18,20.466,221,136
27.012399146,18,21.061,222,136
27.146382618,18,20.701,221,136
27.279250775,18,21.139,222,136
27.412566145,18,20.787,221,136
27.545310495,18,20.539,221,136
27.678169517,20,20.694,221,136
27.812858456,18,20.556,221,136
27.945329253,18,20.75,221,136
28.078803228,18,20.559,221,136
28.211657881,18,21.134,222,136
28.343198210,18,20.599,221,136
28.476190590,18,20.473,221,136
28.608361674,20,20.668,221,136
28.742289797,18,20.632,221,136
28.876861643,18,21.055,222,136
29.009562462,18,20.497,221,136
29.144126315,18,20.845,221,136
29.276098403,18,20.547,221,136
29.409696406,18,21.192,222,136
29.543970178,20,20.793,221,136
29.676230096,18,20.455,221,136
29.809015065,20,20.848,221,136
29.944339029,18,20.557,221,136
30.077071634,18,20.813,221,136
30.210176158,18,20.529,221,136
30.343419207,18,20.919,221,136
30.476192479,4,6.73,207,136
30.609345275,4,4.806,205,136
30.739270842,18,17.596,218,136
30.871116919,18,20.337,221,136
31.004242272,18,20.693,221,136
31.137111205,18,21.125,222,136
31.270045401,20,20.634,221,136
31.402598457,18,20.626,221,136
31.535569389,18,20.922,221,136
31.669578981,18,20.51,221,136
31.803529273,18,20.785,221,136
31.938154547,18,20.713,221,136
32.071237597,18,20.593,221,136
32.202966773,18,20.614,221,136
32.332065339,18,20.79,221,136
32.464164783,18,21.196,222,136
32.596937045,18,20.579,221,136
32.729931025,18,20.633,221,136
32.861847941,18,20.773,221,136
32.992934429,18,20.776,221,136
33.126158387,18,20.946,221,136
33.257263317,20,20.709,221,136
33.390152487,18,20.668,221,136
33.522535024,18,21.153,222,136
33.657084280,18,20.721,221,136
33.789364158,18,20.589,221,136
33.923176920,18,20.586,221,136
34.054798872,18,20.685,221,136
34.187108656,18,20.846,221,136
34.321640981,18,20.692,221,136
34.453855421,18,21.049,222,136
34.587259867,18,20.831,221,136
34.719365368,18,20.615,221,136
34.853227745,18,21.105,222,136
34.985134957,18,20.551,221,136
35.116821719,18,20.923,221,136
35.248848347,18,20.546,221,136
35.382149796,18,20.641,221,136
35.511040214,18,20.841,221,136
35.643983494,18,20.646,221,136
35.776811943,18,20.983,221,136
35.907335037,18,20.602,221,136
36.040538324,18,20.603,221,136
36.172383873,18,20.804,221,136
36.303592078,18,20.589,221,136
36.437343722,18,20.871,221,136
36.571255396,18,20.581,221,136
36.704221851,18,20.703,221,136
36.836353036,18,20.788,221,136
36.969859498,18,20.636,221,136
37.101722298,18,20.58,221,136
37.233595819,20,20.827,221,136
37.364590987,18,20.687,221,136
37.497353547,18,20.571,221,136
37.630386364,18,20.762,221,136
37.765249791,18,20.51,221,136
37.898559307,18,21.191,222,136
38.030538565,18,20.55,221,136
38.164460339,18,20.58,221,136
38.299184639,20,20.755,221,136
38.432452307,18,20.478,221,136
38.566110895,18,20.959,221,136
38.698297102,18,20.754,221,136
38.830472596,18,21.175,222,136
38.961055739,20,20.648,221,136
