time,cwnd,rtt,rto,ssthresh
.003715235,21,9.643,210,21
.142420923,26,29.95,230,21
.277413674,32,35.732,236,21
.410218935,37,42.261,243,21
.543201734,43,48.783,249,21
.675845824,48,55.007,256,21
.808472913,54,61.249,262,21
.939192992,59,67.428,268,21
1.070393690,65,73.499,274,21
1.201042602,70,80.217,281,21
1.334635234,76,86.541,287,21
1.468292799,81,92.711,293,21
1.601446839,87,99.326,300,21
1.734593348,92,105.107,306,21
1.865683208,97,111.928,312,21
1.997280165,103,118.19,319,21
2.129801783,108,124.622,325,21
2.260334939,114,130.581,331,21
2.393442970,119,136.938,337,21
2.524823696,125,143.238,344,21
2.657742833,130,149.34,350,21
2.789359049,136,155.688,356,21
2.922088348,141,161.952,362,21
3.053898357,146,168.047,369,21
3.185848705,152,174.681,375,21
3.317339776,157,180.381,381,21
3.451823104,163,187.127,388,21
3.585412211,168,193.431,394,21
3.717281466,174,199.702,400,21
3.850160917,179,206.208,407,21
3.982531645,185,212.647,413,21
4.113987093,190,218.621,419,21
4.245519503,196,225.077,426,21
4.375558095,201,231.359,432,21
4.508506883,207,237.523,438,21
4.641381343,212,243.969,444,21
4.773136255,217,250.093,451,21
4.902271180,223,256.423,457,21
5.035416775,228,262.662,463,21
5.168473100,234,268.707,469,21
5.299162597,239,275.208,476,21
5.431549681,245,281.463,482,21
5.560931631,250,287.937,488,21
5.694678019,256,294.159,495,21
5.828145284,261,300.224,501,21
5.961335597,266,306.34,507,21
6.093073055,272,313.197,514,21
6.224483700,277,319.185,520,21
6.357120790,283,325.568,526,21
6.487359053,288,331.644,532,21
6.619064647,294,337.824,538,21
6.750827367,299,344.339,545,21
6.884198153,305,350.745,551,21
7.015993875,310,357.201,558,21
7.148207817,315,363.2,564,21
7.279667268,321,369.723,570,21
7.412312447,326,375.926,576,21
7.544439079,332,382.621,583,21
7.676287451,337,388.809,589,21
7.809395031,343,394.641,595,21
7.941820216,348,401.494,602,21
8.076714343,354,407.908,608,21
8.210661663,359,413.831,614,21
8.341877388,365,419.868,620,21
8.475619112,370,426.234,627,21
8.608523070,376,432.766,633,21
8.741931842,381,439.07,640,21
8.874318928,387,445.201,646,21
9.005221545,392,451.147,652,21
9.138135713,398,458.119,659,21
9.270715371,403,464.151,665,21
9.404545320,409,470.6,671,21
9.536302789,414,476.765,677,21
9.669319310,420,483.236,684,21
9.801786090,425,490.147,691,21
9.933509207,430,496.172,697,21
10.065534352,436,502.504,703,21
10.195895608,441,508.465,709,21
10.327382403,447,514.971,715,21
10.461371093,452,521.441,722,21
10.593504675,460,527.473,728,21
10.725671776,470,533.73,734,21
10.858122735,481,539.782,740,21
10.989664920,494,546.111,747,21
11.121878891,508,553.663,754,21
11.253277510,523,564.23,765,21
11.386258883,538,575.598,776,21
11.517462764,554,588.765,789,21
11.650714885,571,603.891,804,21
11.783643701,589,618.683,819,21
11.916658636,607,635.461,836,21
12.048582177,625,651.332,852,21
12.179902635,644,667.953,868,21
12.312042349,662,686.259,887,21
12.452311006,681,704.784,905,21
12.582689855,700,723.432,924,21
12.716168110,722,742.661,943,21
12.848464992,744,761.657,962,21
12.978316018,765,780.232,981,21
13.111104479,788,799.879,1000,21
13.245217576,810,818.802,1019,21
13.378796971,829,836.822,1037,581
13.511862185,773,837.085,1038,581
13.647214265,718,837.542,1038,581
13.779581166,664,837.376,1038,581
13.909320884,611,837.166,1038,581
14.040267008,581,837.251,1038,581
14.172217193,581,837.389,1038,581
14.302677279,581,803.158,1004,581
14.434563757,581,746.305,947,581
14.567548540,581,688.736,889,581
14.701193830,581,665.971,866,581
14.833315376,581,687.957,888,581
14.963326647,581,704.718,905,581
15.098310389,583,704.948,905,581
15.229376686,587,704.558,905,581
15.361379983,591,704.669,905,581
15.494553821,597,704.554,905,581
15.626099698,603,704.082,905,581
15.758206046,610,704.249,905,581
15.889870046,617,708.048,909,581
16.021889924,625,712.961,913,581
16.156263511,633,718.897,919,581
16.288441049,641,725.955,926,581
16.421072100,648,733.165,934,581
16.551508262,656,741.144,942,581
16.682303533,663,749.346,950,581
16.816328837,671,758.303,959,581
16.948366067,678,766.962,967,581
17.080768755,685,775.767,976,581
17.213628239,692,784.47,985,581
17.346602445,699,793.647,994,581
17.478857842,705,801.833,1002,581
17.608618918,711,809.988,1010,581
17.740178424,718,818.019,1019,581
17.873619762,723,826.629,1027,581
18.004380021,729,834.75,1035,581
18.138416720,710,837.444,1038,512
18.270784878,670,837.415,1038,512
18.402585601,631,837.51,1038,512
18.535225868,592,837.351,1038,512
18.666990532,554,837.328,1038,512
18.799861120,515,837.457,1038,512
18.931290586,512,829.668,1030,512
19.063780668,512,773.15,974,512
19.194339640,512,716.67,917,512
19.326375387,512,659.879,860,512
19.458010852,512,616.285,817,512
19.591223138,512,621.326,822,512
19.723250412,514,621.423,822,512
19.855299303,516,621.367,822,512
19.985731157,519,621.347,822,512
20.119175641,523,621.379,822,512
20.254598617,527,620.827,821,512
20.385565087,531,622.62,823,512
20.517433008,535,625.913,826,512
20.648894783,540,629.613,830,512
20.780939066,544,634.102,835,512
20.912961457,548,638.508,839,512
21.046009594,552,643.167,844,512
21.177358650,556,647.992,848,512
21.309299169,561,653.25,854,512
21.443406410,564,658.333,859,512
21.577451847,568,663.477,864,512
21.710115742,572,668.406,869,512
21.840638558,576,672.938,873,512
21.972405688,579,677.723,878,512
22.104340838,582,682.387,883,512
22.237812798,585,686.916,887,512
22.369964557,588,691.112,892,512
22.502655234,591,695.49,896,512
22.634985170,594,699.758,900,512
22.765991621,596,703.482,904,512
22.898126415,598,707.04,908,512
23.030787692,600,710.964,911,512
23.161626559,602,714.029,915,512
23.293094570,604,716.963,917,512
23.425446317,606,720.468,921,512
23.557788325,608,722.916,923,512
23.689506857,609,725.429,926,512
23.820385296,611,727.988,928,512
23.952318759,612,730.168,931,512
24.085083119,613,732.981,933,512
24.219713466,614,735.265,936,512
24.350373473,616,736.803,937,512
24.483211379,616,738.504,939,512
24.615430063,617,739.948,940,512
24.749603586,618,741.906,942,512
24.882072536,619,743.686,944,512
25.012109949,619,744.902,945,512
25.140850447,620,746.436,947,512
25.271733259,620,747.156,948,512
25.405109054,620,747.692,948,512
25.536977288,621,748.889,949,512
25.673476336,621,749.953,950,512
25.799276714,621,749.843,950,512
25.931802741,621,750.948,951,512
26.063739325,621,751.144,952,512
26.197540045,621,751.06,952,512
26.331955581,622,752.501,953,512
26.466042171,622,752.113,953,512
26.597439152,622,752.568,953,512
26.729401653,622,752.201,953,512
26.861813933,622,752.308,953,512
26.993437242,622,753.204,954,512
27.126929841,622,753.48,954,512
27.259408242,622,753.504,954,512
27.392778568,623,753.538,954,512
27.525253731,623,753.506,954,512
27.656784530,623,753.553,954,512
27.790750062,623,753.247,954,512
27.923508886,623,753.39,954,512
28.056684545,624,753.408,954,512
28.187128330,624,754.649,955,512
28.318343871,624,754.689,955,512
28.448381379,625,754.746,955,512
28.580383901,625,754.635,955,512
28.712823792,626,754.747,955,512
28.845555509,627,756.024,957,512
28.976300615,628,755.961,956,512
29.106336058,628,756.126,957,512
29.239971330,629,757.253,958,512
29.371728090,631,757.021,958,512
29.504242586,632,758.457,959,512
29.635333815,633,759.832,960,512
29.766907152,635,760.863,961,512
29.899462748,636,761.814,962,512
30.030958433,638,763.248,964,512
30.162381065,640,764.466,965,512
30.294371116,641,765.578,966,512
30.424335253,643,767.003,968,512
30.556612863,646,769.11,970,512
30.688082817,648,770.532,971,512
30.821649733,651,772.697,973,512
30.953594080,653,775.063,976,512
31.086567952,656,777.248,978,512
31.217916485,659,779.72,980,512
31.347799672,663,782.416,983,512
31.478627043,666,784.894,985,512
31.612259621,670,787.924,988,512
31.744669893,673,791.051,992,512
31.875984130,677,794.569,995,512
32.008258439,681,798.316,999,512
32.140774424,686,802.019,1003,512
32.272865964,690,805.824,1006,512
32.404866164,695,810.111,1011,512
32.536611351,700,814.71,1015,512
32.668101588,705,818.962,1019,512
32.801818866,711,823.645,1024,512
32.933742306,716,828.558,1029,512
33.066170422,723,833.814,1034,512
33.199219854,720,837.381,1038,509
33.331562868,682,837.552,1038,509
33.464389842,644,837.381,1038,509
33.595652596,606,837.222,1038,509
33.726657873,568,837.269,1038,509
33.857785632,530,837.343,1038,509
33.989376279,509,837.274,1038,509
34.119139599,509,796.592,997,509
34.251233790,509,740.15,941,509
34.381665387,509,683.601,884,509
34.514669042,509,627.08,828,509
34.645366392,509,617.374,818,509
34.777590183,511,617.786,818,509
34.911858543,514,617.751,818,509
35.044031580,519,617.764,818,509
35.177524916,524,617.748,818,509
35.308660121,531,616.459,817,509
35.442929424,537,619.545,820,509
35.575397285,544,624.144,825,509
35.709907800,551,629.441,830,509
35.840748575,559,635.726,836,509
35.973050077,566,643.065,844,509
36.104632597,573,650.559,851,509
36.238553206,580,658.421,859,509
36.370491224,587,666.344,867,509
36.502433911,594,674.67,875,509
36.633057705,600,682.338,883,509
36.764400821,606,690.845,891,509
36.896479822,613,699.083,900,509
37.030225775,619,707.048,908,509
37.162536341,625,714.606,915,509
37.295344301,630,722.792,923,509
37.427591651,636,729.897,930,509
37.559651156,641,737.228,938,509
37.691447982,646,744.521,945,509
37.824079808,651,751.35,952,509
37.953175253,656,757.636,958,509
38.092018927,660,764.691,965,509
38.224208532,664,771.099,972,509
38.353978306,669,776.884,977,509
38.485138368,673,782.78,983,509
38.623526184,677,788.163,989,509
38.756708850,680,793.679,994,509
38.886106190,684,799.097,1000,509
39.018608479,687,804.095,1005,509
39.150669032,690,809.209,1010,509
39.281929989,693,813.565,1014,509
39.413615714,696,817.804,1018,509
39.546404104,698,822.284,1023,509
39.679221778,701,826.543,1027,509
39.812264724,703,830.609,1031,509
39.942838821,705,834.373,1035,509
40.074500246,707,837.684,1038,509
40.205366908,680,837.296,1038,495
40.339665385,645,837.241,1038,495
40.470671073,609,837.338,1038,495
40.605541234,574,837.302,1038,495
40.736057879,539,837.492,1038,495
40.867602063,505,837.508,1038,495
40.999562186,495,818.555,1019,495
41.131486966,495,760.661,961,495
41.263919340,495,704.248,905,495
41.395710463,495,647.497,848,495
41.527742455,495,598.519,799,495
41.660132429,496,600.686,801,495
41.794734666,498,600.743,801,495
41.925549856,500,600.769,801,495
42.058170544,504,600.759,801,495
42.188572133,507,599.528,800,495
42.319386671,511,600.79,801,495
42.452444538,515,603.483,804,495
42.584404877,520,607.074,808,495
42.716684313,524,611.382,812,495
42.848301981,528,615.447,816,495
42.979740072,532,620.231,821,495
43.113201004,536,624.688,825,495
43.245295226,540,629.718,830,495
43.378478311,544,634.871,835,495
43.512454118,548,639.799,840,495
43.644528622,552,644.699,845,495
43.776413699,555,649.794,850,495
43.909416109,559,654.126,855,495
44.041494250,562,658.814,859,495
44.173768532,565,663.35,864,495
44.306077586,568,667.963,868,495
