time_total,speed_download,time_starttransfer,time_appconnect,time_connect
0.564349,3716055,0.053717,0.036153,0.011798
0.711482,2947582,0.053490,0.028375,0.007466
0.759999,2759414,0.053698,0.038941,0.014624
0.788993,2658010,0.055967,0.042086,0.016456
0.826392,2537720,0.053508,0.028973,0.007972
0.836119,2508197,0.053629,0.031805,0.009321
0.839995,2496624,0.053731,0.032844,0.009896
0.861012,2435682,0.054905,0.037396,0.012657
0.918056,2284339,0.056285,0.033484,0.010288
0.930239,2254422,0.053730,0.039805,0.015059
0.957818,2189509,0.053354,0.024806,0.002579
0.964283,2174830,0.053496,0.030180,0.008955
0.965312,2172512,0.055473,0.029448,0.008480
0.965697,2171645,0.053689,0.034360,0.010638
0.965872,2171252,0.053694,0.035289,0.011227
0.966888,2168970,0.053794,0.040728,0.015466
0.978957,2142230,0.053678,0.038329,0.013972
0.979379,2141307,0.054732,0.041371,0.016067
0.981993,2135607,0.055982,0.042841,0.017052
0.999490,2098222,0.055646,0.027840,0.007026
0.998903,2099455,0.055997,0.044950,0.018142
1.005406,2085875,0.059017,0.043890,0.017518
1.024669,2046662,0.071101,0.046141,0.018707
1.024645,2046710,0.071302,0.047196,0.019090
1.046250,2004446,0.071809,0.050506,0.020089
1.046773,2003444,0.071668,0.048709,0.019670
1.088956,1925837,0.053559,0.027203,0.006347
1.102962,1901381,0.053352,0.025928,0.005144
1.103513,1900432,0.053328,0.025299,0.004214
1.103503,1900449,0.053329,0.026675,0.005775
