time,cwnd,rtt,rto,ssthresh
.003634839,10,0,1000,64240
.135314179,10,0,1000,64240
.265939930,10,0,1000,64240
.395182095,10,0,1000,64240
.526607971,10,0,1000,64240
.659004829,10,633.748,1902,64088
.789841801,10,633.748,1902,64088
.918881356,10,633.748,1902,64088
1.048192792,10,633.748,1902,64088
1.177615549,10,633.748,1902,64088
1.308361805,10,628.24,1896,64088
1.439681929,10,628.24,1896,64088
1.571818808,10,628.24,1896,64088
1.703991012,10,628.24,1896,64088
1.835154495,10,628.24,1896,64088
1.964865952,10,628.979,1767,64088
2.095119751,10,628.979,1767,64088
2.225276223,10,628.979,1767,64088
2.354636316,10,628.979,1767,64088
2.485207304,10,628.979,1767,64088
2.614372261,10,628.979,1767,64088
2.744263461,10,628.979,1767,64088
2.875781043,10,628.979,1767,64088
3.007532042,10,628.979,1767,64088
3.138638722,11,623.179,1871,64088
3.270928995,11,623.179,1871,64088
3.400772543,11,623.179,1871,64088
3.530883370,11,623.179,1871,64088
3.663288571,6,590.291,1838,64088
3.795423940,20,596.305,1738,64088
3.963603471,20,596.305,1738,64088
4.095652464,20,596.305,1738,64088
4.225768552,22,592.257,1734,64088
4.355973217,29,591.276,1517,64088
4.489840320,34,599.745,1526,64088
4.621943569,36,604.552,1530,64088
4.754593999,36,604.552,1530,64088
4.886495642,43,604.388,1530,64088
5.016601810,50,593.583,1338,64088
5.148769810,58,595.569,1340,64088
5.281180078,65,579.805,1324,64088
5.414550397,73,593.574,1338,64088
5.545163715,88,583.449,1328,64088
5.677650371,100,582.604,1191,64088
5.811765433,119,610.011,1218,64088
5.941975348,135,599.631,1208,64088
6.075236861,151,604.229,1213,64088
6.207537702,173,600.017,1208,64088
6.340838695,208,601.882,1108,64088
6.473707902,245,592.335,1099,64088
6.606746480,280,605.603,1112,64088
6.736670237,322,616.851,1123,64088
6.870752477,377,589.158,1022,64088
7.001207252,432,593.159,1026,64088
7.131843820,508,615.078,1048,64088
7.262855603,585,603.573,1036,64088
7.394579938,686,594.77,1027,64088
7.527734058,797,585.882,1019,64088
7.660374124,920,584.793,963,64088
7.791195706,1064,593.335,971,64088
7.920649680,1227,613.399,991,64088
8.052032567,1421,609.02,987,64088
8.185762938,1684,603.039,981,64088
8.318736657,1963,615.614,951,64088
8.449209375,2132,608.202,944,64088
8.578412325,1025,609.74,945,64088
8.712002839,880,607.626,943,64088
8.844740335,880,606.457,942,64088
8.975656907,880,610.771,946,64088
9.107672089,927,641.095,977,64088
9.239203721,1057,630.817,967,64088
9.373630364,1132,639.629,944,64088
9.506639699,1140,623.84,928,64088
9.637757879,1142,609.859,914,64088
9.766288954,1202,598.038,902,64088
9.898712983,1429,608.449,912,64088
10.029877861,2217,614.418,918,64088
10.162919446,2365,667.138,971,64088
10.293605183,653,582.311,886,64088
10.426295029,652,628.247,932,64088
10.558825389,543,614.041,918,64088
10.688301800,528,624.848,929,64088
10.821418443,529,635.701,914,862
10.952922744,491,639.246,917,862
11.084300264,563,654.317,932,862
11.216432376,627,650.372,929,862
11.348459838,727,613.858,892,862
11.480949368,839,570.768,849,862
11.614529916,1054,621.276,885,862
11.746333394,1160,592.255,856,862
11.877800300,1340,630.699,895,862
12.010240320,1498,612.312,876,862
12.141985653,1689,589.749,854,862
12.272741240,1840,626.838,891,862
12.405696188,1840,618.358,882,862
12.536006114,1840,628.47,893,862
12.669116051,1840,611.183,875,862
12.801295634,1840,622.804,887,862
12.933593965,1840,614.896,872,862
13.066657387,1840,628.659,886,862
13.198436104,1840,610.788,868,862
13.329110549,1840,635.419,893,862
13.459908343,1772,629.23,887,862
13.591901078,1774,607.7,865,862
13.723397574,1774,607.276,865,862
13.856211420,1774,616.652,874,862
13.988387899,1774,617.91,875,862
14.120686491,1772,603.773,847,862
14.251879374,1722,643.418,887,862
14.380371515,1772,602.685,846,862
14.509630595,1772,631.72,875,862
14.641096289,1772,665.34,909,862
14.772916112,1772,666.297,910,862
14.905283717,1772,619.782,863,862
15.037987065,1772,608.11,851,862
15.168830276,1772,625.589,869,862
15.301411297,1772,596.876,840,862
15.432416908,1741,647.912,886,862
15.563866487,1772,619.427,858,862
15.697248999,1772,632.902,871,862
15.829162376,1526,618.507,857,862
15.960161729,1520,600.442,839,862
16.091858134,1526,593.902,832,862
16.220028575,1526,624.034,862,862
16.351811263,1526,650.952,889,862
16.483693236,1526,575.613,814,862
16.614703430,1526,609.769,839,862
16.746417116,1526,580.014,809,862
16.879670513,1528,597.174,826,862
17.011762238,1528,615.737,845,862
17.142639595,1528,621.787,851,862
17.275912062,1528,641.51,870,862
17.403396912,1528,599.908,829,862
17.532947321,1524,633.639,857,862
