time,cwnd,rtt,rto,ssthresh
.003683384,10,0,1000,64240
.136544635,10,0,1000,64240
.266843021,10,0,1000,64240
.395040076,10,0,1000,64240
.525579298,10,0,1000,64240
.657124948,10,633.887,1902,64088
.787339165,10,633.887,1902,64088
.916711295,10,633.887,1902,64088
1.046539306,10,633.887,1902,64088
1.179067129,10,622.052,1890,64088
1.310077375,10,622.052,1890,64088
1.441759640,10,622.052,1890,64088
1.571921221,10,622.052,1890,64088
1.704037043,10,622.052,1890,64088
1.834810604,10,615.951,1776,64088
1.966332184,10,615.951,1776,64088
2.098691710,10,615.951,1776,64088
2.228436615,10,615.951,1776,64088
2.363004377,10,615.951,1776,64088
2.494592709,10,615.951,1776,64088
2.623711211,10,615.951,1776,64088
2.756728056,10,615.951,1776,64088
2.886152641,10,615.951,1776,64088
3.017422719,10,615.951,1776,64088
3.147842407,10,648.302,1945,64088
3.280632044,10,648.302,1945,64088
3.409560850,10,648.302,1945,64088
3.539726353,10,648.302,1945,64088
3.670613827,18,586.966,1779,64088
3.800844123,18,586.966,1779,64088
3.932653787,18,586.966,1779,64088
4.065002371,18,586.966,1779,64088
4.195774158,20,570.106,1762,64088
4.327392586,34,617.154,1602,64088
4.457341037,36,631.775,1617,64088
4.589304721,36,631.775,1617,64088
4.720460621,36,631.775,1617,64088
4.853650051,51,600.702,1586,64088
4.985182342,62,604.73,1394,64088
5.117012620,63,611.507,1401,64088
5.247143790,63,611.507,1401,64088
5.376456607,65,596.691,1386,64088
5.506437771,90,614.952,1404,64088
5.638072881,106,616.366,1405,64088
5.770717574,108,631.757,1274,64088
5.904648600,108,631.757,1274,64088
6.037267197,115,604.655,1247,115
6.169488719,115,603.069,1245,115
6.302689344,115,624.447,1156,115
6.433003819,115,624.447,1156,115
6.562069687,115,584.636,1116,115
6.694106101,115,581.143,1113,115
6.824193291,115,634.052,1166,115
6.954231533,116,644.642,1094,115
7.086622562,116,609.471,1059,115
7.219403354,116,598.128,1048,115
7.353022324,116,606.257,1056,115
7.486592079,117,606.134,1056,115
7.618453371,117,619.354,1007,115
7.748363988,117,597.583,985,115
7.879295623,118,592.441,980,115
8.012074623,119,613.863,1001,115
8.145687922,119,630.494,972,115
8.276601963,120,624.288,966,115
8.407442875,120,592.192,934,115
8.539627823,122,606.466,948,115
8.672145184,123,595.574,937,115
8.803707340,124,624.855,931,115
8.935079433,124,604.526,911,115
9.066552106,127,604.791,911,115
9.207812663,129,619.391,926,115
9.335722942,130,603.998,910,115
9.467749292,131,600.548,885,115
9.597804800,132,592.011,877,115
9.730199991,136,621.643,906,115
9.860738821,138,608.183,893,115
9.991604652,140,622.687,897,115
10.122256301,141,601.842,876,115
10.252725337,144,601.665,876,115
10.385109319,149,621.786,896,115
10.518507614,152,610.636,885,115
10.649338273,154,622.589,882,115
10.780229116,156,584.692,844,115
10.912174058,162,599.312,859,115
11.045317959,166,609.578,869,115
11.176929284,170,602.878,863,115
11.309067291,171,575.929,836,115
11.438590524,175,598.267,843,115
11.569337459,183,597.884,843,115
