time_total,speed_download,time_starttransfer,time_appconnect,time_connect
5.727704,366141,1.838322,1.206628,0.587463
5.749931,364726,1.721505,1.138984,0.600944
5.834313,359451,1.886045,1.238721,0.618458
5.886519,356263,1.924145,1.288953,0.662464
5.932571,353498,1.853627,1.219473,0.597609
5.949616,352485,1.849623,1.236683,0.552080
5.972548,351131,1.881375,1.229444,0.553072
5.993057,349930,1.892507,1.224467,0.601679
6.024155,348123,1.937455,1.289647,0.649982
6.047535,346777,1.890116,1.237107,0.615743
6.048311,346733,1.883794,1.304224,0.665500
6.079086,344978,1.929392,1.267284,0.594206
6.093710,344150,1.752674,1.163578,0.521354
6.180048,339342,1.978161,1.307485,0.640341
6.304351,332651,1.831710,1.182171,0.560053
6.379537,328731,1.798913,1.207283,0.585180
6.395786,327895,1.770126,1.183644,0.555482
6.400063,327676,1.906788,1.299918,0.697838
6.420862,326615,1.819546,1.225654,0.592421
6.426722,326317,1.833346,1.275262,0.636174
6.488028,323234,1.850558,1.223771,0.573641
6.502471,322516,1.764443,1.173204,0.604284
6.510114,322137,1.939795,1.270620,0.634812
6.542728,320531,1.936006,1.272424,0.603505
6.545291,320406,1.944497,1.320403,0.687167
6.639908,315840,1.842428,1.159094,0.524797
7.069105,296664,1.867285,1.237968,0.621529
7.453371,281369,1.844578,1.208733,0.576972
7.474602,280570,1.864184,1.220279,0.590508
10.097335,207693,1.987337,1.309334,0.659124
