time,cwnd,rtt,rto,ssthresh
.003669204,10,0,1000,64240
.136314419,11,20.251,221,64088
.270637377,187,20.617,221,64088
.402834534,1782,20.5,221,64088
.537895284,2394,20.601,221,1154
.671570680,2636,20.457,221,1154
.804910922,2288,20.409,221,1154
.936686941,1880,20.68,221,1154
1.075316220,2164,20.38,221,1154
1.206710497,1177,20.249,221,1154
1.339704273,1367,20.09,221,1154
1.474138642,2206,20.509,221,1154
1.608429640,893,20.52,221,1154
1.742329979,2054,20.499,221,1154
1.874466474,2146,20.554,221,1154
2.005776204,2212,20.624,221,1154
2.136809245,2298,20.341,221,1154
2.267483212,1397,20.305,221,1154
2.399849746,1054,20.447,221,1154
2.532021370,2352,20.255,221,1154
2.665072211,2202,20.806,221,1154
2.797725495,1405,20.669,221,1154
2.931035462,2236,20.001,221,1154
3.064844148,2320,20.699,221,1154
3.195338030,2296,20.524,221,1154
3.334994440,1766,20.464,221,1154
3.472350794,1405,20.135,221,1154
3.602986522,936,20.624,221,1154
3.735924082,911,20.678,221,1154
3.868118185,2024,20.481,221,1154
3.999385107,970,20.631,221,1154
4.133396238,1904,20.079,221,1154
4.267893208,1864,20.644,221,1154
4.400360446,2236,20.067,221,1154
4.534513600,1390,20.693,221,1154
4.665991828,1164,20.372,221,1154
4.794902246,2068,20.697,221,1154
4.927014834,1424,20.217,221,1154
5.061378689,912,20.667,221,1154
5.194283430,2376,20.605,221,1154
5.326500551,2228,20.571,221,1154
5.459976713,1766,20.448,221,1154
5.591080827,2162,20.322,221,1154
5.725981045,2176,20.675,221,1154
5.856592637,2350,20.366,221,1154
5.990522249,1415,20.368,221,1154
6.123495984,1402,20.538,221,1154
6.255272458,2155,20.676,221,1154
6.388121356,2238,20.241,221,1154
6.519025666,2300,20.699,221,1154
6.649696880,2234,20.486,221,1154
6.781656431,1629,20.538,221,1154
6.916488866,2098,20.448,221,1154
7.049156785,1400,20.413,221,1154
7.182198415,2080,20.248,221,1154
7.314449935,1920,20.227,221,1154
7.448743230,2276,20.029,221,1154
7.582849205,1266,20.319,221,1154
7.715376784,2270,20.705,221,1154
7.846321747,2220,20.488,221,1154
7.980509866,2132,20.768,221,1154
8.114544930,2070,20.227,221,1154
8.247439273,1920,20.47,221,1154
8.381504352,2155,20.422,221,1154
8.521825282,1432,20.288,221,1154
8.654706808,2158,20.275,221,1154
8.788522941,2178,20.019,221,1154
8.921214751,776,20.287,221,1154
9.054391014,2062,20.605,221,1154
9.186172248,1299,20.345,221,1154
9.318649126,876,20.721,221,1154
9.449718497,2096,20.393,221,1154
9.583723812,1425,20.47,221,1154
9.717120007,2008,20.516,221,1154
9.849171458,1884,20.606,221,1154
9.980903132,1421,20.519,221,1154
10.114042289,1416,20.457,221,1154
10.246321540,4,20.565,221,1154
10.380419978,4,20.657,221,1154
10.513804636,1415,20.036,221,1154
10.648157582,2138,20.369,221,1154
10.781338496,2132,20.516,221,1154
10.920448999,2128,20.14,221,1154
11.055790559,1402,20.283,221,1154
11.189922202,1936,20.389,221,1154
11.324173813,908,20.627,221,1154
11.456185928,2038,20.435,221,1154
11.588594096,1928,20.537,221,1154
11.721425289,1388,20.551,221,1154
11.851985585,1890,20.511,221,1154
11.983999110,1998,20.575,221,1154
12.117376011,939,20.452,221,1154
12.249050393,1543,20.291,221,1154
12.381195353,2270,20.611,221,1154
12.514063732,2150,20.575,221,1154
12.646573843,1048,20.687,221,1154
12.779741084,966,20.759,221,1154
12.910392182,2120,20.619,221,1154
13.044327870,2136,20.88,221,1154
13.175989167,1194,20.207,221,1154
13.309328776,2144,20.439,221,1154
13.440389695,2186,20.117,221,1154
13.574343363,2066,20.129,221,1154
13.709322344,2120,20.761,221,1154
