time,cwnd,rtt,rto,ssthresh
.003700058,10,0,1000,64240
.133854985,7,20.26,221,7
.265551450,4,20.499,221,3
.394688383,6,20.356,221,3
.522812486,6,20.483,221,6
.652059995,7,20.931,221,4
.780260078,5,22.59,223,4
.912199518,7,21.852,222,4
1.041819289,7,20.623,221,7
1.169640465,9,20.793,221,7
1.299162467,6,21.299,222,5
1.428770020,7,21.649,222,4
1.558067297,5,20.869,221,4
1.688213059,5,22.937,223,4
1.819159185,5,21.045,222,4
1.947634298,5,20.666,221,4
2.077807991,4,25.965,226,3
2.207348019,3,27.466,228,2
2.337645356,1,25.576,226,2
2.465850059,1,25.576,226,2
2.594560709,2,23.765,224,2
2.723428919,2,20.713,221,2
2.855590141,4,31.391,232,2
2.986603227,5,23.104,224,4
3.118007744,4,21.995,222,3
3.248210335,3,21.367,222,3
3.378149090,6,23.419,224,3
3.506147814,9,21.705,222,6
3.635309510,5,23.097,224,4
3.764525134,4,20.98,221,3
3.903507376,8,20.554,221,3
4.033385954,10,20.359,221,3
4.162335805,8,20.511,221,8
4.292356040,6,20.524,221,6
4.422804233,8,20.81,221,6
4.553957212,7,20.686,221,4
4.683265608,5,20.928,221,4
4.811661229,5,20.886,221,4
4.941311745,3,24.657,225,2
5.072297558,3,28.978,229,2
5.200366053,3,24.592,225,3
5.330993206,3,23.408,224,2
5.460986996,3,28.502,229,2
5.590532347,3,28.539,229,2
5.720142722,4,27.055,228,2
5.847629155,7,22.658,223,2
5.976643225,5,21.331,222,4
6.105804861,4,21.775,222,3
6.232735162,5,22.53,223,4
6.360541345,5,23.054,224,4
6.491697216,4,23.572,224,3
6.620811885,5,23.293,224,4
6.750485575,2,25.316,226,2
6.880460104,3,30.676,231,2
7.010361362,4,25.907,226,4
7.140630766,7,22.237,223,4
7.270450883,7,22.756,223,6
7.399058540,5,20.781,221,4
7.528462191,4,20.748,221,4
7.657383720,6,20.958,221,4
7.787315590,5,20.519,221,5
7.917494912,5,22.818,223,4
8.047351902,4,22.719,223,3
8.178955515,4,21.11,222,4
8.310990080,4,20.883,221,3
8.441750411,8,20.585,221,3
8.572969660,8,20.368,221,7
8.705596265,6,21.263,222,5
8.835417508,3,24.253,225,3
8.962479089,2,21.341,222,2
9.092305270,2,20.626,221,2
9.223371036,4,30.777,231,2
9.355538561,5,23.301,224,4
9.486617401,5,21.474,222,4
9.615147163,4,21.434,222,4
9.745843543,4,20.761,221,3
9.875781388,3,25.005,226,2
10.004737351,3,27.467,228,2
10.136697958,4,32.159,233,2
10.264352419,5,23.397,224,3
10.393518277,2,21.744,222,2
10.527474673,4,20.968,221,2
